# Name:,,
#   NIST 177,,
# Identifier:,,
#   id: 20.500.12048/map.177.1,,
#   type: handle,,
# Description: Map for circular substrates 3 inch in diameter,,
# Associated:,,
#   organization: National Institute of Standards and Technology (NIST),,
#   Person,,
#     name: Jason Hattrick-Simpers,,
#     address: 100 Bureau Dr., Gaithersburg, MD 20899
#     email: jason.hattrick-simpers@nist.gov,,
#     phone number: +1 301 975 6976,,
#     organization: National Institute of Standards and Technology (NIST),,
#     identifier: ,,
#       id: 0000-0003-2937-3188,,
#       type: ORCID,,
#   Person,,
#     name: Zachary Trautt,,
#     address: 100 Bureau Dr., Gaithersburg, MD 20899
#     email: zachary.trautt@nist.gov,,
#     phone number: +1 301 975 4539,,
#     organization: National Institute of Standards and Technology (NIST),,
#     identifier: ,,
#       id: 0000-0001-5929-0354,,
#       type: ORCID,,
# Geometry: circle,,
# Diameter: 3.0 inch,,
# Fiducial-Position: bottom,,
id, Xvalues, Yvalues
1,-9.04,-31.64
2,-4.52,-31.64
3,0,-31.64
4,4.52,-31.64
5,9.04,-31.64
6,-18.08,-27.12
7,-13.56,-27.12
8,-9.04,-27.12
9,-4.52,-27.12
10,0,-27.12
11,4.52,-27.12
12,9.04,-27.12
13,13.56,-27.12
14,18.08,-27.12
15,-22.6,-22.6
16,-18.08,-22.6
17,-13.56,-22.6
18,-9.04,-22.6
19,-4.52,-22.6
20,0,-22.6
21,4.52,-22.6
22,9.04,-22.6
23,13.56,-22.6
24,18.08,-22.6
25,22.6,-22.6
26,-27.12,-18.08
27,-22.6,-18.08
28,-18.08,-18.08
29,-13.56,-18.08
30,-9.04,-18.08
31,-4.52,-18.08
32,0,-18.08
33,4.52,-18.08
34,9.04,-18.08
35,13.56,-18.08
36,18.08,-18.08
37,22.6,-18.08
38,27.12,-18.08
39,-27.12,-13.56
40,-22.6,-13.56
41,-18.08,-13.56
42,-13.56,-13.56
43,-9.04,-13.56
44,-4.52,-13.56
45,0,-13.56
46,4.52,-13.56
47,9.04,-13.56
48,13.56,-13.56
49,18.08,-13.56
50,22.6,-13.56
51,27.12,-13.56
52,-31.64,-9.04
53,-27.12,-9.04
54,-22.6,-9.04
55,-18.08,-9.04
56,-13.56,-9.04
57,-9.04,-9.04
58,-4.52,-9.04
59,0,-9.04
60,4.52,-9.04
61,9.04,-9.04
62,13.56,-9.04
63,18.08,-9.04
64,22.6,-9.04
65,27.12,-9.04
66,31.64,-9.04
67,-31.64,-4.52
68,-27.12,-4.52
69,-22.6,-4.52
70,-18.08,-4.52
71,-13.56,-4.52
72,-9.04,-4.52
73,-4.52,-4.52
74,0,-4.52
75,4.52,-4.52
76,9.04,-4.52
77,13.56,-4.52
78,18.08,-4.52
79,22.6,-4.52
80,27.12,-4.52
81,31.64,-4.52
82,-31.64,0
83,-27.12,0
84,-22.6,0
85,-18.08,0
86,-13.56,0
87,-9.04,0
88,-4.52,0
89,0,0
90,4.52,0
91,9.04,0
92,13.56,0
93,18.08,0
94,22.6,0
95,27.12,0
96,31.64,0
97,-31.64,4.52
98,-27.12,4.52
99,-22.6,4.52
100,-18.08,4.52
101,-13.56,4.52
102,-9.04,4.52
103,-4.52,4.52
104,0,4.52
105,4.52,4.52
106,9.04,4.52
107,13.56,4.52
108,18.08,4.52
109,22.6,4.52
110,27.12,4.52
111,31.64,4.52
112,-31.64,9.04
113,-27.12,9.04
114,-22.6,9.04
115,-18.08,9.04
116,-13.56,9.04
117,-9.04,9.04
118,-4.52,9.04
119,0,9.04
120,4.52,9.04
121,9.04,9.04
122,13.56,9.04
123,18.08,9.04
124,22.6,9.04
125,27.12,9.04
126,31.64,9.04
127,-27.12,13.56
128,-22.6,13.56
129,-18.08,13.56
130,-13.56,13.56
131,-9.04,13.56
132,-4.52,13.56
133,0,13.56
134,4.52,13.56
135,9.04,13.56
136,13.56,13.56
137,18.08,13.56
138,22.6,13.56
139,27.12,13.56
140,-27.12,18.08
141,-22.6,18.08
142,-18.08,18.08
143,-13.56,18.08
144,-9.04,18.08
145,-4.52,18.08
146,0,18.08
147,4.52,18.08
148,9.04,18.08
149,13.56,18.08
150,18.08,18.08
151,22.6,18.08
152,27.12,18.08
153,-22.6,22.6
154,-18.08,22.6
155,-13.56,22.6
156,-9.04,22.6
157,-4.52,22.6
158,0,22.6
159,4.52,22.6
160,9.04,22.6
161,13.56,22.6
162,18.08,22.6
163,22.6,22.6
164,-18.08,27.12
165,-13.56,27.12
166,-9.04,27.12
167,-4.52,27.12
168,0,27.12
169,4.52,27.12
170,9.04,27.12
171,13.56,27.12
172,18.08,27.12
173,-9.04,31.64
174,-4.52,31.64
175,0,31.64
176,4.52,31.64
177,9.04,31.64
